ORG NAME,ORG STATUS,MULTIPLE DOMAIN,BASE STATE,MAIN DOMAIN
AARAMBH,Cold,YES,MUMBAI,EDUCATION
AGA KHAN FOUNDATION ,Luke Warm ,YES,DELHI-NCR,RURAL DEVELOPMENT 
AGRASAR,Cold,NO,DELHI-NCR,EDUCATION
AKANKSHA FOUNDATION,Luke Warm ,NO,MUMBAI,EDUCATION
AKSHAY PATRA,Luke Warm ,YES,DELHI-NCR,EDUCATION
ANTARA FOUNDATION ,Luke Warm ,YES,DELHI-NCR,HEALTH 
ANTARANG FOUNDATION ,Warm ,YES,MUMBAI,EDUCATION 
ANUBHUTI ,Warm ,NO,DELHI-NCR,EDUCATION 
APNALAYA ,Cold,YES,MUMBAI,EDUCATION
APNI SHALA,Luke Warm ,YES,MUMBAI,EDUCATION
BAJAJ FOUNDATION,Cold,NO,DELHI-NCR,ENVIRONMENT (CSR)
CATALYST FOR SOCIAL ACTION,Cold,YES,MUMBAI,CHILD RIGHTS 
CATALYST MANAGEMENT SERVICE,Cold,YES,DELHI-NCR,CONSULTING 
CENTRAL SQUARE FOUNDATION,Warm ,NO,DELHI-NCR,EDUCATION
CENTRE FOR ASIAN PHILANTHROPHY ,Cold,YES,MUMBAI,CONSULTING
CHILDLINE INDIA FOUNDATION ,Cold,YES,MUMBAI,CHILD RIGHTS 
CONVERGENCE FOUNDATION ,Luke Warm ,YES,DELHI-NCR,LIVELIHOOD 
D LIGHT,Cold,NO,DELHI-NCR,ENVIRONMENT (FOR PROFIT)
DHRIITI,Cold,NO,DELHI-NCR,EDUCATION
DRISHTI FOUNDATION,Cold,YES,DELHI-NCR,LIVELIHOOD 
ELMS SPORTS FOUNDATION (DANI FOUNDATION),Warm ,YES,MUMBAI,OTHERS 
GOONJ ,Warm ,YES,DELHI-NCR,OTHERS 
GREEN DREAM FOUNDATION,Cold,NO,DELHI-NCR,ENVIRONMENT
GREEN YATRA,Cold,YES,MUMBAI,ENVIRONMENT
GYAN PRAKASH ,Cold,NO,MUMBAI,EDUCATION
HAQDARSHAK,Luke Warm ,YES,DELHI-NCR,HUMAN RIGHTS
I-SAKSHAM,Cold,NO,DELHI-NCR,EDUCATION
INDUS ACTION ,Warm ,NO,DELHI-NCR,DEMOCRACY
INTELLECAP ,Luke Warm ,YES,DELHI-NCR,CONSULTING
ITEACH SCHOOLS,Luke Warm ,NO,MUMBAI,EDUCATION
JAI VAKEEL FOUNDATION,Luke Warm ,YES,MUMBAI,DISABILITY 
KATH-KATHA,Warm ,YES,DELHI-NCR,GENDER
KOTAK EDUCATION FOUNDATION ,Warm ,NO,MUMBAI,EDUCATION (CSR)
LABHYA FOUNDATION ,Cold,NO,DELHI-NCR,EDUCATION
LAHI ,Luke Warm ,NO,MUMBAI,EDUCATION 
LAKSHYA JEEVAN JAGRITI,Cold,YES,DELHI-NCR,YOUTH
LEAP FOR WORD,Cold,NO,MUMBAI,EDUCATION
MANZIL MYSTICS ,Luke Warm ,NO,DELHI-NCR,MUSIC EDUCATION 
MUSKAAN DREAMS,Cold,YES,DELHI-NCR,ED-TECH 
NAZ FOUNDATION ,Cold,YES,DELHI-NCR,OTHERS 
NIRANTAR ,Cold,YES,DELHI-NCR,GENDER
OPEN LINKS FOUNDATION,Warm ,NO,MUMBAI,EDUCATION
