Org_Name,Org_Status,Multiple_Domain,Base_State,Main_Domain
AARAMBH,Cold,YES,MUMBAI,Education
AGA KHAN FOUNDATION ,Luke Warm,YES,DELHI-NCR,Rural Development
AGRASAR,Cold,NO,DELHI-NCR,Education
AKANKSHA FOUNDATION,Luke Warm,NO,MUMBAI,Education
AKSHAY PATRA,Luke Warm,YES,DELHI-NCR,Education
ANTARA FOUNDATION ,Luke Warm,YES,DELHI-NCR,Health
ANTARANG FOUNDATION ,Warm,YES,MUMBAI,Education
ANUBHUTI ,Warm,NO,DELHI-NCR,Education
APNALAYA ,Cold,YES,MUMBAI,Education
APNI SHALA,Luke Warm,YES,MUMBAI,Education
BAJAJ FOUNDATION,Cold,NO,DELHI-NCR,Environment (Csr)
CATALYST FOR SOCIAL ACTION,Cold,YES,MUMBAI,Child Rights
CATALYST MANAGEMENT SERVICE,Cold,YES,DELHI-NCR,Consulting
CENTRAL SQUARE FOUNDATION,Warm,NO,DELHI-NCR,Education
CENTRE FOR ASIAN PHILANTHROPHY ,Cold,YES,MUMBAI,Consulting
CHILDLINE INDIA FOUNDATION ,Cold,YES,MUMBAI,Child Rights
CONVERGENCE FOUNDATION ,Luke Warm,YES,DELHI-NCR,Livelihood
D LIGHT,Cold,NO,DELHI-NCR,Environment (For Profit)
DHRIITI,Cold,NO,DELHI-NCR,Education
DRISHTI FOUNDATION,Cold,YES,DELHI-NCR,Livelihood
ELMS SPORTS FOUNDATION (DANI FOUNDATION),Warm,YES,MUMBAI,Others
GOONJ ,Warm,YES,DELHI-NCR,Others
GREEN DREAM FOUNDATION,Cold,NO,DELHI-NCR,Environment
GREEN YATRA,Cold,YES,MUMBAI,Environment
GYAN PRAKASH ,Cold,NO,MUMBAI,Education
HAQDARSHAK,Luke Warm,YES,DELHI-NCR,Human Rights
I-SAKSHAM,Cold,NO,DELHI-NCR,Education
INDUS ACTION ,Warm,NO,DELHI-NCR,Democracy
INTELLECAP ,Luke Warm,YES,DELHI-NCR,Consulting
ITEACH SCHOOLS,Luke Warm,NO,MUMBAI,Education
JAI VAKEEL FOUNDATION,Luke Warm,YES,MUMBAI,Disability
KATH-KATHA,Warm,YES,DELHI-NCR,Gender
KOTAK EDUCATION FOUNDATION ,Warm,NO,MUMBAI,Education (Csr)
LABHYA FOUNDATION ,Cold,NO,DELHI-NCR,Education
LAHI ,Luke Warm,NO,MUMBAI,Education
LAKSHYA JEEVAN JAGRITI,Cold,YES,DELHI-NCR,Youth
LEAP FOR WORD,Cold,NO,MUMBAI,Education
MANZIL MYSTICS ,Luke Warm,NO,DELHI-NCR,Music Education
MUSKAAN DREAMS,Cold,YES,DELHI-NCR,Ed-Tech
NAZ FOUNDATION ,Cold,YES,DELHI-NCR,Others
NIRANTAR ,Cold,YES,DELHI-NCR,Gender
OPEN LINKS FOUNDATION,Warm,NO,MUMBAI,Education
PEEPUL,Cold,YES,DELHI-NCR,Education
PIRAMAL PHARMA LIMITED ,Warm,YES,MUMBAI,Pharma (For Profit)
POPULATION COUNCIL CONSULTING ,Cold,NO,DELHI-NCR,Health
PRADAN ,Cold,NO,DELHI-NCR,Rural Development
PRATHAM ,Luke Warm,NO,DELHI-NCR,Education
PSI -POPOULATION SERVICES INTERNATIONAL,Cold,YES,DELHI-NCR,Health
